iter	Passed	Remaining
0	258	258149
1	260	129952
2	262	87165
3	265	66171
4	267	53297
5	269	44676
6	271	38549
7	273	33909
8	275	30295
9	277	27427
10	278	25076
11	281	23146
12	285	21677
13	287	20232
14	288	18976
15	290	17887
16	292	16918
17	294	16054
18	296	15283
19	297	14587
20	299	13964
21	301	13409
22	303	12892
23	305	12433
24	307	11989
25	309	11580
26	311	11214
27	312	10858
28	314	10528
29	316	10225
30	317	9937
31	319	9669
32	321	9426
33	323	9190
34	326	8997
35	328	8794
36	330	8607
37	332	8430
38	334	8246
39	336	8072
40	337	7905
41	339	7749
42	341	7602
43	344	7480
44	346	7344
45	349	7247
46	351	7130
47	354	7021
48	356	6909
49	359	6825
50	363	6771
51	369	6731
52	372	6663
53	377	6613
54	380	6535
55	382	6455
56	385	6379
57	405	6586
58	409	6534
59	414	6488
60	417	6430
61	421	6374
62	424	6306
63	432	6323
64	435	6264
65	440	6227
66	442	6163
67	453	6212
68	457	6168
69	461	6136
70	464	6077
71	474	6114
72	477	6060
73	480	6006
74	486	5996
75	489	5946
76	491	5892
77	494	5843
78	497	5794
79	499	5743
80	502	5706
81	507	5679
82	508	5617
83	510	5568
84	512	5516
85	514	5467
86	516	5418
87	523	5430
88	527	5402
89	529	5357
90	531	5311
91	535	5289
92	537	5246
93	540	5208
94	545	5200
95	549	5176
96	552	5141
97	554	5100
98	559	5087
99	560	5045
100	562	5007
101	568	5003
102	572	4982
103	575	4954
104	576	4916
105	578	4878
106	580	4842
107	581	4806
108	583	4770
109	585	4736
110	589	4724
111	592	4699
112	594	4668
113	597	4640
114	600	4619
115	604	4603
116	605	4570
117	607	4543
118	619	4588
119	623	4568
120	625	4543
121	627	4517
122	629	4491
123	634	4482
124	637	4459
125	640	4442
126	642	4419
127	645	4397
128	664	4484
129	666	4462
130	673	4470
131	677	4457
132	680	4434
133	687	4442
134	690	4427
135	693	4405
136	701	4419
137	704	4401
138	714	4424
139	716	4404
140	727	4429
141	729	4407
142	735	4406
143	737	4385
144	740	4366
145	748	4378
146	752	4368
147	755	4351
148	758	4334
149	763	4328
150	771	4338
151	776	4330
152	794	4399
153	797	4383
154	800	4366
155	804	4353
156	807	4334
157	809	4315
158	816	4318
159	818	4298
160	825	4300
161	829	4289
162	831	4270
163	836	4266
164	839	4248
165	842	4231
166	851	4245
167	854	4233
168	858	4219
169	866	4228
170	876	4248
171	879	4235
172	887	4242
173	890	4225
174	893	4213
175	897	4201
176	900	4185
177	902	4167
178	906	4156
179	908	4140
180	911	4124
181	919	4133
182	956	4269
183	958	4252
184	961	4235
185	969	4243
186	972	4226
187	975	4214
188	979	4201
189	982	4186
190	984	4171
191	988	4159
192	995	4162
193	998	4147
194	1003	4141
195	1005	4124
196	1008	4111
197	1011	4095
198	1013	4080
199	1018	4074
200	1021	4059
201	1023	4045
202	1031	4051
203	1035	4041
204	1039	4029
205	1045	4030
206	1047	4014
207	1051	4004
208	1054	3991
209	1059	3985
210	1063	3977
211	1066	3964
212	1068	3949
213	1072	3939
214	1075	3925
215	1077	3911
216	1081	3900
217	1090	3911
218	1093	3898
219	1095	3885
220	1098	3870
221	1100	3857
222	1104	3847
223	1110	3845
224	1112	3833
225	1115	3819
226	1117	3805
227	1123	3805
228	1140	3840
229	1143	3826
230	1145	3814
231	1148	3800
232	1152	3794
233	1162	3805
234	1166	3796
235	1168	3783
236	1170	3769
237	1174	3759
238	1176	3746
239	1183	3746
240	1187	3739
241	1190	3729
242	1193	3716
243	1195	3705
244	1203	3709
245	1211	3714
246	1215	3704
247	1218	3693
248	1221	3684
249	1227	3683
250	1231	3674
251	1234	3663
252	1240	3663
253	1256	3691
254	1259	3680
255	1262	3668
256	1267	3663
257	1272	3660
258	1277	3654
259	1279	3642
260	1283	3634
261	1288	3630
262	1293	3625
263	1302	3632
264	1306	3622
265	1324	3653
266	1326	3641
267	1328	3628
268	1330	3616
269	1333	3605
270	1341	3608
271	1343	3596
272	1346	3585
273	1351	3581
274	1354	3570
275	1382	3627
276	1390	3628
277	1393	3618
278	1395	3606
279	1397	3594
280	1400	3583
281	1402	3571
282	1405	3559
283	1407	3547
284	1410	3539
285	1413	3529
286	1450	3603
287	1453	3592
288	1455	3581
289	1458	3570
290	1461	3560
291	1463	3548
292	1466	3538
293	1468	3526
294	1470	3515
295	1473	3504
296	1476	3494
297	1478	3483
298	1486	3484
299	1489	3474
300	1491	3463
301	1493	3452
302	1520	3496
303	1540	3526
304	1542	3515
305	1545	3504
306	1547	3493
307	1550	3483
308	1554	3475
309	1557	3465
310	1559	3454
311	1562	3444
312	1565	3435
313	1567	3425
314	1570	3414
315	1597	3458
316	1600	3447
317	1604	3440
318	1606	3430
319	1609	3420
320	1611	3409
321	1613	3398
322	1616	3387
323	1618	3376
324	1622	3368
325	1629	3368
326	1632	3360
327	1675	3433
328	1678	3424
329	1681	3413
330	1683	3402
331	1685	3392
332	1688	3381
333	1690	3371
334	1694	3363
335	1697	3355
336	1700	3344
337	1708	3345
338	1710	3335
339	1716	3331
340	1722	3329
341	1725	3320
342	1729	3313
343	1732	3303
344	1734	3293
345	1737	3284
346	1740	3275
347	1752	3284
348	1796	3351
349	1799	3341
350	1801	3331
351	1804	3321
352	1806	3310
353	1808	3300
